PESEL,imie,nazwisko,kodpocztowy,telefon,datarekrutacji,sredniamaturalna,statusaplikacji,IDwydzialu,nazwawydzialu
80181458127,Jagoda,Lis,68-357,+48 759-801-247,2025-06-13,65.82,odrzucony,1,Matematyka
54184787482,Cecylia,Krajewska,87-253,+48 556-689-326,2025-07-02,78.57,zaakceptowany,2,Biologia
75144888519,Zygmunt,Bednarek,65-030,+48 830-579-459,2025-06-28,77.61,oczekuje,0,Informatyka
82520849153,Leon,Sikora,26-002,+48 524-617-763,2025-07-05,55.48,odrzucony,1,Matematyka
23008354464,Gabriela,Czerwińska,16-980,+48 576-803-603,2025-06-15,60.33,zaakceptowany,2,Biologia
00167854625,Karolina,Wilczyńska,35-026,+48 661-871-358,2025-06-13,80.66,oczekuje,1,Matematyka
02724590247,Kinga,Sadowska,06-329,+48 794-644-538,2025-06-14,56.63,odrzucony,4,Prawo
54679159220,Sandra,Baran,98-822,+48 624-797-189,2025-06-16,54.52,odrzucony,4,Prawo
34150143032,Grzegorz,Nowak,33-751,+48 830-681-796,2025-06-21,79.74,odrzucony,7,Medycyna
31795490282,Magdalena,Mazur,07-878,+48 751-249-758,2025-06-07,54.76,odrzucony,7,Medycyna
57086260500,Natalia,Gajewska,07-367,+48 781-483-721,2025-06-20,70.86,zaakceptowany,5,Ekonomia
65340275530,Krzysztof,Lis,54-555,+48 555-706-465,2025-06-26,88.38,zaakceptowany,5,Ekonomia
57651303419,Damian,Wróbel,39-672,+48 575-433-653,2025-06-06,74.22,odrzucony,4,Prawo
23973233666,Dominika,Michalak,38-512,+48 532-103-842,2025-06-21,54.49,odrzucony,7,Medycyna
50677155635,Jakub,Adamczyk,18-532,+48 724-114-420,2025-06-15,82.79,zaakceptowany,5,Ekonomia
65018640171,Mikołaj,Matusiak,89-187,+48 784-377-862,2025-06-23,85.21,oczekuje,4,Prawo
46631011007,Iga,Urban,94-700,+48 829-881-900,2025-06-16,75.69,odrzucony,7,Medycyna
45156251253,Jakub,Woźniak,63-221,+48 687-633-354,2025-06-06,68.79,oczekuje,1,Matematyka
14561755500,Alicja,Czarnecka,22-412,+48 673-553-510,2025-06-29,84.37,oczekuje,1,Matematyka
45650172213,Szymon,Mazurek,21-337,+48 603-880-687,2025-07-06,58.18,odrzucony,7,Medycyna
58800949372,Oskar,Skiba,62-667,+48 765-597-692,2025-06-10,68.96,zaakceptowany,2,Biologia
79553366002,Eliza,Nowicka,53-880,+48 872-336-383,2025-07-05,50.37,odrzucony,3,Fizyka
41662158365,Karolina,Wilk,25-737,+48 687-580-891,2025-06-21,80.35,oczekuje,3,Fizyka
46517674175,Jakub,Polak,65-242,+48 771-263-452,2025-07-03,84.53,zaakceptowany,3,Fizyka
54141308747,Sylwia,Pietrzak,72-692,+48 845-305-636,2025-06-28,55.91,odrzucony,5,Ekonomia
67019506229,Eliza,Szulc,12-620,+48 824-897-849,2025-06-10,59.26,odrzucony,0,Informatyka
76701056955,Tymon,Kucharski,80-375,+48 550-719-544,2025-06-10,74.58,oczekuje,6,Filologia
91333390033,Aleksander,Grabowski,26-303,+48 572-389-628,2025-07-04,59.88,odrzucony,7,Medycyna
38483991379,Krzysztof,Jabłoński,77-520,+48 533-747-102,2025-06-14,89.23,zaakceptowany,4,Prawo
46143969962,Karolina,Sobczak,97-200,+48 543-738-405,2025-07-04,51.41,odrzucony,1,Matematyka
09650293995,Maciej,Górski,35-811,+48 510-157-604,2025-06-28,81.17,oczekuje,2,Biologia
01278602806,Marcelina,Ostrowska,87-614,+48 571-508-753,2025-06-28,70.31,odrzucony,1,Matematyka
99589231155,Krzysztof,Sadowski,69-060,+48 553-478-916,2025-06-24,50.78,odrzucony,4,Prawo
21691641223,Magdalena,Wójcik,92-062,+48 705-686-934,2025-07-02,82.63,oczekuje,6,Filologia
27279711972,Grzegorz,Janik,26-758,+48 821-586-524,2025-06-15,56.14,odrzucony,6,Filologia
86668423652,Igor,Grzelak,17-304,+48 731-927-226,2025-06-10,57.43,odrzucony,2,Biologia
78199231349,Barbara,Wieczorek,92-733,+48 697-979-557,2025-07-02,59.41,odrzucony,5,Ekonomia
60953541207,Oliwia,Polak,49-851,+48 699-184-908,2025-07-05,86.47,oczekuje,4,Prawo
38933230286,Oliwia,Kucharska,49-681,+48 811-728-570,2025-06-13,60.4,oczekuje,0,Informatyka
92494382597,Rafał,Andrzejewski,91-918,+48 779-414-680,2025-07-02,62.55,oczekuje,3,Fizyka
12264620839,Szymon,Kulesza,65-967,+48 574-937-425,2025-06-24,75.03,zaakceptowany,4,Prawo
87718672159,Maciej,Sobczak,69-594,+48 848-110-190,2025-06-28,57.57,odrzucony,2,Biologia
41107918431,Borys,Król,11-864,+48 544-601-139,2025-07-05,85.23,zaakceptowany,1,Matematyka
72335362722,Eliza,Kamińska,88-277,+48 859-600-421,2025-06-19,63.72,odrzucony,0,Informatyka
17035788541,Hanna,Górska,22-818,+48 869-844-601,2025-06-28,67.52,zaakceptowany,6,Filologia
81516615440,Cecylia,Mazurek,21-861,+48 892-417-598,2025-07-01,74.41,zaakceptowany,0,Informatyka
61707436619,Leon,Tokarski,14-541,+48 598-103-948,2025-07-06,75.48,zaakceptowany,0,Informatyka
08352077632,Igor,Nowak,84-767,+48 612-350-345,2025-06-20,77.14,zaakceptowany,1,Matematyka
99871187691,Adam,Kowalski,67-504,+48 817-257-715,2025-07-05,54.02,odrzucony,5,Ekonomia
65011924897,Hubert,Sobczak,06-866,+48 748-910-512,2025-06-23,62.74,oczekuje,2,Biologia
39451120108,Lena,Grzelak,34-184,+48 565-575-639,2025-06-19,51.76,odrzucony,7,Medycyna
58860351903,Magdalena,Mazur,51-616,+48 574-637-951,2025-06-27,66.93,zaakceptowany,5,Ekonomia
49056073833,Dawid,Kwiatkowski,22-525,+48 753-679-689,2025-06-12,69.19,oczekuje,5,Ekonomia
38965324769,Beata,Król,22-458,+48 851-852-231,2025-06-23,51.21,odrzucony,0,Informatyka
17594900586,Zofia,Pawlak,33-366,+48 866-434-316,2025-06-08,53.09,odrzucony,3,Fizyka
22579441661,Lidia,Kozłowska,80-856,+48 553-395-793,2025-06-25,53.79,odrzucony,6,Filologia
19083443448,Eliza,Kucharska,47-337,+48 564-140-920,2025-06-13,59.45,odrzucony,4,Prawo
07258598044,Iga,Ostrowska,21-311,+48 835-757-865,2025-06-14,52.69,odrzucony,4,Prawo
34819503318,Dawid,Staniszewski,65-057,+48 553-305-750,2025-06-18,79.16,odrzucony,1,Matematyka
23628346907,Cecylia,Baran,50-526,+48 661-867-879,2025-06-09,89.91,zaakceptowany,1,Matematyka
67049201568,Sylwia,Wójcik,53-298,+48 524-216-716,2025-06-18,84.73,zaakceptowany,7,Medycyna
72575385003,Iga,Polak,19-240,+48 805-894-628,2025-06-20,76.46,odrzucony,0,Informatyka
50229035092,Krzysztof,Michalak,76-361,+48 795-270-451,2025-06-30,51.78,odrzucony,4,Prawo
43187861358,Bartosz,Dąbrowski,40-293,+48 773-580-980,2025-06-26,74.61,oczekuje,1,Matematyka
51335776946,Barbara,Wróblewska,46-427,+48 787-487-456,2025-06-29,88.56,zaakceptowany,3,Fizyka
65398910486,Jagoda,Michalak,70-003,+48 676-948-457,2025-06-22,86.37,oczekuje,1,Matematyka
37059075075,Andrzej,Kozłowski,73-692,+48 554-195-573,2025-06-28,86.06,oczekuje,7,Medycyna
